Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
PG,Shelvin Mack,3800,Mil@Uta 09:00PM ET,15.875,Uta,1,0,14.107,8.713,4.938,4.000,4.000,22.800,0.205,-7.500,198.000,-9018.648,3.836,6.559,0.000
PG/SG,Brandon Knight,3800,LAC@Pho 09:00PM ET,19.000,Pho,1,0,10.143,11.924,13.875,7.500,4.250,22.800,0.339,2.500,219.500,-9004.287,14.656,17.100,1.500
PF/C,Marreese Speights,3800,LAC@Pho 09:00PM ET,19.349,LAC,0,0,18.964,13.231,14.250,14.250,23.000,22.800,0.347,-2.500,219.500,4.850,16.644,19.097,20.250
PF/C,Amir Johnson,3700,Tor@Bos 07:30PM ET,16.989,Bos,1,0,17.786,10.073,18.438,14.250,15.750,22.200,0.283,-6.000,215.000,1.675,17.748,17.225,7.500
SF/PF,Jeff Green,3700,Ind@Orl 07:00PM ET,16.699,Orl,1,0,17.429,10.270,19.688,21.250,19.500,22.200,0.246,2.000,212.500,-0.088,18.711,15.713,9.250
C,Bismack Biyombo,3700,Ind@Orl 07:00PM ET,19.878,Orl,1,0,19.607,12.600,11.875,7.500,18.500,22.200,0.398,2.000,212.500,-9.070,14.710,19.172,6.000
SG/SF,Kyle Korver,3700,Min@Cle 07:00PM ET,17.756,Cle,1,0,19.786,10.977,13.062,8.750,5.250,22.200,0.297,-6.500,215.500,-6.262,14.022,12.387,28.250
PG/SG,Devin Harris,3700,Phi@Dal 08:30PM ET,11.711,Dal,1,0,15.857,5.750,15.188,12.250,16.750,22.200,0.080,-6.500,206.000,-4.674,13.456,13.141,21.250
SG,Nik Stauskas,3700,Phi@Dal 08:30PM ET,16.878,Phi,0,0,18.429,11.386,20.562,23.000,4.000,22.200,0.216,6.500,206.000,-9008.674,17.794,14.381,14.250
PG,Cory Joseph,3600,Tor@Bos 07:30PM ET,17.807,Tor,0,0,20.929,12.423,16.250,6.750,24.000,21.600,0.330,6.000,215.000,-10.342,17.033,10.259,14.750
