Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
57,642488916,Scuba3321 (45/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Bojan Bogdanovic,0.78%,31
57,642488945,Scuba3321 (46/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Ryan Anderson,0.78%,23.75
57,642488948,Scuba3321 (49/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Malcolm Delaney,0.75%,13.25
83,642009293,RexGrossman (36/50),0,315.75,PG Jordan Clarkson SG James Harden SF Kawhi Leonard PF David Lee C Al Horford F Spencer Hawes G Kyle Lowry UTIL Rodney Hood,,Goran Dragic,0.73%,27
83,642009297,RexGrossman (40/50),0,315.75,PG James Harden SG Rodney Hood SF Kawhi Leonard PF David Lee C Marcin Gortat F Taj Gibson G Kyle Lowry UTIL Rondae Hollis-Jefferson,,Brandon Ingram,0.73%,21.5
83,642118682,moklovin (1/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Nikola Mirotic,0.73%,0
83,642118683,moklovin (2/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Kelly Olynyk,0.70%,21
83,642118684,moklovin (3/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Caris LeVert,0.65%,17.25
83,642118685,moklovin (4/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Timofey Mozgov,0.59%,11.5
83,642118686,moklovin (5/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Marcus Morris,0.58%,17.75
