DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,PERSON_ID,Position,Salary,SVM,AdaBoost,Neural Network,Random Forest
8.536,5.0,LAC,False,CHA,4.5,,1628393.0,PG,3000.0,27.8149144544,6.6,7.38588311755,6.95575324675
9.477,18.25,GS,False,PHI,-8.5,,1628395.0,PF/C,3000.0,26.1056498404,15.45,11.9007760359,15.5748214286
1.917,,UTA,False,ORL,5.0,,1628396.0,PF/C,3000.0,27.7876651385,10.6,10.6067334908,12.4299107143
6.067,9.5,BOS,False,ATL,-6.5,,1628400.0,SF/PF,3200.0,27.9085552381,6.15,7.02199018094,7.74458333333
9.318,3.75,POR,True,SAC,-12.0,,1628403.0,PF,3700.0,27.3037618511,5.25,7.23626499903,8.55557142857
0.0,,DAL,True,MIL,7.5,,1628405.0,PF/C,3000.0,27.8903154241,10.6,8.94453225357,11.8374107143
13.911,21.0,CHA,True,LAC,-4.5,,1628407.0,SG/SF,3400.0,28.0898176807,15.1,16.967642494,16.3990277778
4.05,3.0,ORL,True,UTA,-5.0,,1628411.0,SG/SF,3000.0,26.9608028773,2.45,6.08939010293,3.76236111111
9.607,0.0,LAC,False,CHA,4.5,,1628414.0,SG,3200.0,27.7537260097,6.65,6.67540766045,6.33119642857
19.643,12.25,MEM,True,HOU,8.0,,1628415.0,SG/SF,4200.0,28.5624681621,16.55,17.1330891502,17.4130992063
2.625,0.0,ATL,True,BOS,6.5,,1628416.0,PG/SG,3000.0,27.6748547356,2.5,5.71275745351,2.415
0.0,,MEM,True,HOU,8.0,,1628424.0,SG,3000.0,28.1481529681,10.6,9.54803088875,12.3601607143
4.167,,MIL,False,DAL,-7.5,,1628425.0,SG,3000.0,27.8347337757,12.05,11.6009673699,13.740375
0.0,,BOS,False,ATL,-6.5,,1628443.0,SG,3000.0,28.098266344,10.75,7.75002595774,11.7276607143
2.125,,BOS,False,ATL,-6.5,,1628444.0,SG,3000.0,28.1459356721,10.75,8.97907348402,11.7276607143
0.0,,GS,False,PHI,-8.5,,1628449.0,PF,3000.0,25.8383291069,12.05,7.63091996634,14.4512083333
8.917,1.25,ATL,True,BOS,6.5,,1628463.0,PF,3400.0,27.8277963409,5.2,6.89291074311,4.86928571429
12.417,7.5,BOS,False,ATL,-6.5,,1628464.0,PF/C,3300.0,28.0531779219,9.2,9.95452027071,7.99217857143
7.65,19.25,DAL,True,MIL,7.5,,1628467.0,PF,3000.0,28.0205398184,12.45,12.8285303202,11.34375
5.607,1.5,DAL,True,MIL,7.5,,1628492.0,PG,3000.0,27.5096276235,3.35,6.16781400379,5.20196428571
2.5,,CHA,True,LAC,-4.5,,1628493.0,PF/C,3000.0,27.6558657002,12.25,9.13609987079,11.488375
0.0,,ORL,True,UTA,-5.0,,1628503.0,SG/SF,3000.0,27.4149731335,11.0,8.71932870729,11.7276607143
19.016,,HOU,False,MEM,-8.0,,,SF/PF,3800.0,27.4714700343,20.3,19.443611667,21.6390357143
18.25,,HOU,False,MEM,-8.0,,,SF/PF,3600.0,27.4125618042,20.1,18.9915551312,21.2252857143
13.932,,HOU,False,MEM,-8.0,,,C,3300.0,27.1042712779,14.8,16.7574712784,15.7194880952
26.5,,PHI,True,GS,8.5,,,SG/SF,4900.0,28.0012250683,27.1,24.6733234169,27.7767202381
34.964,,POR,True,SAC,-12.0,,,PG/SG,7100.0,29.5325074179,33.0,32.818549682,31.7913571429
0.0,,POR,True,SAC,-12.0,,,SG/SF,3000.0,27.5645379591,11.45,8.33786408226,13.787875
8.25,,MEM,True,HOU,8.0,,,PG/SG,3000.0,28.3907260755,14.05,14.4176906163,15.3457857143
0.0,,MEM,True,HOU,8.0,,,PF,3000.0,28.1481529681,10.6,9.54803088875,12.3601607143
6.875,,SAC,False,POR,12.0,,,SF/PF,3000.0,28.711360537,10.05,14.0371663723,12.1174702381
10.125,,SAC,False,POR,12.0,,,PG/SG,3000.0,28.8124073637,14.1,15.9853645844,15.05825
