Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
C,Willie Reed,3900,GS@Mia 07:30PM ET,13.436,MIA,1,0,11.214,7.641,11.250,0.000,-2.240,24.000,23.400,217.000,12.000,10.016,14.657
SG/SF,Kyle Korver,3900,Cle@NO 08:00PM ET,18.441,CLE,0,0,16.000,11.474,19.375,1.844,-14.705,21.500,23.400,217.000,-7.000,14.538,16.863
PF/C,Channing Frye,3900,Cle@NO 08:00PM ET,16.957,CLE,0,0,13.357,11.053,18.875,0.000,0.565,22.750,23.400,217.000,-7.000,13.806,7.926
SG/SF,Marco Belinelli,3800,Was@Cha 07:00PM ET,18.571,CHA,1,0,15.429,12.762,19.125,0.000,0.010,14.000,22.800,213.500,-5.000,14.785,11.206
C,Zaza Pachulia,3800,GS@Mia 07:30PM ET,18.394,GS,0,0,23.000,12.512,23.312,0.000,-3.066,17.000,22.800,217.000,-12.000,17.803,17.422
SG,Reggie Bullock,3700,Sac@Det 07:30PM ET,13.031,DET,1,0,14.700,5.438,18.500,0.000,-1.092,24.000,22.200,204.500,-7.000,15.242,14.652
C,Aron Baynes,3700,Sac@Det 07:30PM ET,10.610,DET,1,0,10.500,6.560,13.812,0.000,-955.789,12.000,22.200,204.500,-7.000,9.910,12.490
SF,Andre Iguodala,3700,GS@Mia 07:30PM ET,18.029,GS,0,1,19.464,12.550,23.875,0.000,-1805.725,9.000,22.200,217.000,-12.000,16.292,16.373
SF,Mindaugas Kuzminskas,3700,NY@Ind 08:00PM ET,11.145,NY,0,0,13.286,5.913,18.938,0.000,0.424,13.500,22.200,217.500,5.500,13.331,11.147
SG/SF,Thabo Sefolosha,3600,LAC@Atl 07:30PM ET,19.683,ATL,1,0,16.179,12.787,13.375,0.000,-1776.687,10.750,21.600,206.500,-7.500,11.000,14.799
SG,Manu Ginobili,3600,SA@Bkn 07:30PM ET,18.108,SA,0,1,19.393,12.807,21.938,0.000,-1813.552,30.000,21.600,217.500,-11.000,17.691,17.015
SG,Buddy Hield,3600,Cle@NO 08:00PM ET,15.778,NO,1,0,21.036,8.137,14.312,0.000,0.526,28.000,21.600,217.000,7.000,14.108,20.456
PG/SG,Matthew Dellavedova,3500,Hou@Mil 08:00PM ET,19.362,MIL,1,0,18.536,13.079,14.000,0.000,1.915,17.000,21.000,224.000,5.000,12.678,17.137
C,John Henson,3500,Hou@Mil 08:00PM ET,18.134,MIL,1,0,18.571,11.607,19.875,0.000,1.794,22.000,21.000,224.000,5.000,16.630,22.025
SF,Omri Casspi,3500,Sac@Det 07:30PM ET,13.614,SAC,0,1,16.964,7.100,9.062,0.000,-1372.075,5.500,21.000,204.500,7.000,8.315,2.363
SG,Danny Green,3500,SA@Bkn 07:30PM ET,17.600,SA,0,0,16.607,10.900,15.562,0.000,-2.851,30.000,21.000,217.500,-11.000,13.165,18.853
C,Dewayne Dedmon,3500,SA@Bkn 07:30PM ET,15.223,SA,0,0,9.286,8.819,13.125,0.000,-14.731,29.000,21.000,217.500,-11.000,10.142,15.598
PF/C,Spencer Hawes,3500,Was@Cha 07:00PM ET,16.258,CHA,1,0,11.321,9.235,20.062,0.000,0.008,16.000,21.000,213.500,-5.000,14.385,9.672
SG,J.R. Smith,3500,Cle@NO 08:00PM ET,17.321,CLE,0,1,13.429,11.300,19.688,0.000,-1744.655,20.000,21.000,217.000,-7.000,13.740,11.059
SF,Solomon Hill,3500,Cle@NO 08:00PM ET,15.542,NO,1,0,13.679,10.820,15.188,0.000,0.518,27.000,21.000,217.000,7.000,13.052,15.431
PF/C,Kris Humphries,3400,LAC@Atl 07:30PM ET,11.379,ATL,1,0,12.286,5.083,22.062,0.000,-1027.126,7.250,20.400,206.500,-7.500,14.391,13.132
PG,Spencer Dinwiddie,3400,SA@Bkn 07:30PM ET,13.688,BKN,1,0,16.500,6.825,12.875,0.000,-1234.137,6.000,20.400,217.500,11.000,10.251,15.377
PF/C,Justin Hamilton,3400,SA@Bkn 07:30PM ET,16.682,BKN,1,1,18.964,10.472,18.062,0.000,-1670.736,3.000,20.400,217.500,11.000,13.554,11.348
PG,Ramon Sessions,3400,Was@Cha 07:00PM ET,13.540,CHA,1,0,15.071,9.950,18.000,0.000,-1218.593,4.000,20.400,213.500,-5.000,12.569,12.152
PG,Shaun Livingston,3400,GS@Mia 07:30PM ET,11.202,GS,0,1,11.321,8.205,12.812,0.000,-1121.955,8.000,20.400,217.000,-12.000,7.457,13.583
