Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
SF,Trevor Ariza,5700,Hou@Min 08:00PM ET,28.113,Hou,0,0,24.143,21.382,27.938,30.250,5.500,34.200,0.217,-3.500,218.500
SF/PF,Markieff Morris,5600,Was@Bos 08:00PM ET,25.979,Was,0,0,24.143,19.852,29.625,34.250,17.750,33.600,0.218,5.500,217.500
PG,Patrick Beverley,5600,Hou@Min 08:00PM ET,27.894,Hou,0,0,31.179,21.604,28.812,25.500,20.000,33.600,0.237,-3.500,218.500
PG,Ricky Rubio,5600,Hou@Min 08:00PM ET,26.485,Min,1,0,30.393,19.855,29.875,51.750,10.000,33.600,0.227,3.500,218.500
PG,T.J. McConnell,5500,NY@Phi 07:00PM ET,18.193,Phi,1,0,19.429,12.137,32.062,26.000,13.000,33.000,0.054,2.000,211.500
SG,J.J. Redick,5500,Orl@LAC 10:30PM ET,21.791,LAC,1,0,27.000,14.528,29.875,38.250,22.000,33.000,0.107,-10.500,209.000
PF/C,Gorgui Dieng,5400,Hou@Min 08:00PM ET,27.414,Min,1,0,26.500,20.044,28.125,17.750,21.250,32.400,0.275,3.500,218.500
PG,Elfrid Payton,5400,Orl@LAC 10:30PM ET,27.776,Orl,0,1,32.536,20.650,31.062,23.500,2.000,32.400,0.348,10.500,209.000
PF/C,Montrezl Harrell,5300,Hou@Min 08:00PM ET,18.024,Hou,0,0,19.929,8.417,26.750,30.750,10.750,31.800,0.112,-3.500,218.500
SF,Jae Crowder,5200,Was@Bos 08:00PM ET,25.425,Bos,1,0,22.107,19.357,20.312,14.500,15.000,31.200,0.211,-5.500,217.500
SF/PF,Aaron Gordon,5200,Orl@LAC 10:30PM ET,22.026,Orl,0,0,20.179,14.857,30.250,10.000,15.000,31.200,0.173,10.500,209.000
PF/C,Enes Kanter,5100,Mem@OKC 08:00PM ET,25.096,OKC,1,0,25.429,16.881,33.375,41.250,2.250,30.600,0.304,-4.500,204.000
PF,Al-Farouq Aminu,5100,Cle@Por 10:30PM ET,21.250,Por,1,0,19.857,15.208,32.938,38.250,14.000,30.600,0.182,5.000,222.000
PF,Ryan Anderson,5000,Hou@Min 08:00PM ET,24.400,Hou,0,0,32.036,17.927,22.250,22.500,6.500,30.000,0.278,-3.500,218.500
SG,Tony Allen,4900,Mem@OKC 08:00PM ET,22.530,Mem,0,0,23.893,15.986,24.062,11.250,12.000,29.400,0.224,4.500,204.000
PG/SG,Brandon Jennings,4900,NY@Phi 07:00PM ET,21.059,NY,0,0,23.821,13.950,18.938,37.250,16.750,29.400,0.205,-2.000,211.500
C,Clint Capela,4800,Hou@Min 08:00PM ET,26.804,Hou,0,1,24.286,20.607,20.062,14.500,15.000,28.800,0.393,-3.500,218.500
C,Joakim Noah,4700,NY@Phi 07:00PM ET,22.662,NY,0,0,23.786,15.213,21.938,19.000,27.000,28.200,0.297,-2.000,211.500
PG,Austin Rivers,4700,Orl@LAC 10:30PM ET,18.664,LAC,1,1,26.607,10.697,30.312,35.000,19.000,28.200,0.173,-10.500,209.000
C,Tristan Thompson,4700,Cle@Por 10:30PM ET,24.189,Cle,0,0,25.643,18.262,25.625,29.500,28.000,28.200,0.317,-5.000,222.000
SF/PF,Dario Saric,4600,NY@Phi 07:00PM ET,20.721,Phi,1,0,20.714,13.147,24.938,25.750,17.000,27.600,0.230,2.000,211.500
SG/SF,Kyle Korver,4500,Cle@Por 10:30PM ET,18.720,Cle,0,0,16.607,11.750,22.812,5.250,14.000,27.000,0.155,-5.000,222.000
SG/SF,Allen Crabbe,4400,Cle@Por 10:30PM ET,18.175,Por,1,0,22.357,12.369,24.562,12.250,27.500,26.400,0.141,5.000,222.000
PF,JaMychal Green,4300,Mem@OKC 08:00PM ET,23.051,Mem,0,0,20.714,15.605,20.062,19.500,15.000,25.800,0.376,4.500,204.000
C,Jahlil Okafor,4300,NY@Phi 07:00PM ET,20.652,Phi,1,0,24.643,12.068,13.875,8.500,22.000,25.800,0.261,2.000,211.500
C,Nerlens Noel,4200,NY@Phi 07:00PM ET,15.050,Phi,1,0,9.750,10.464,19.938,19.000,22.000,25.200,0.139,2.000,211.500
SG/SF,Raymond Felton,4200,Orl@LAC 10:30PM ET,15.520,LAC,1,0,24.000,9.565,26.500,27.250,23.500,25.200,0.162,-10.500,209.000
PF/C,Marreese Speights,4200,Orl@LAC 10:30PM ET,19.406,LAC,1,0,20.107,13.375,20.875,24.750,14.750,25.200,0.239,-10.500,209.000
PF/C,Amir Johnson,4100,Was@Bos 08:00PM ET,17.283,Bos,1,1,22.679,10.537,21.062,13.750,16.750,24.600,0.215,-5.500,217.500
SG,Jamal Crawford,4100,Orl@LAC 10:30PM ET,19.600,LAC,1,0,24.857,13.033,23.688,3.750,22.000,24.600,0.292,-10.500,209.000
SG/SF,Kelly Oubre Jr.,4000,Was@Bos 08:00PM ET,13.086,Was,0,0,15.679,7.476,15.875,12.250,12.250,24.000,0.115,5.500,217.500
SF,Andre Roberson,4000,Mem@OKC 08:00PM ET,18.436,OKC,1,0,22.250,10.676,20.000,18.000,4.000,24.000,0.251,-4.500,204.000
PG,Sergio Rodriguez,4000,NY@Phi 07:00PM ET,23.605,Phi,1,0,25.857,14.900,21.562,8.000,13.000,24.000,0.484,2.000,211.500
SG,Courtney Lee,4000,NY@Phi 07:00PM ET,18.992,NY,0,0,19.607,13.179,18.750,9.500,17.500,24.000,0.219,-2.000,211.500
SF,Maurice Harkless,4000,Cle@Por 10:30PM ET,23.699,Por,1,0,21.750,15.844,22.750,29.250,27.000,24.000,0.485,5.000,222.000
SG,Nik Stauskas,3900,NY@Phi 07:00PM ET,17.295,Phi,1,0,13.893,11.133,18.812,27.250,26.000,23.400,0.197,2.000,211.500
SG/SF,Evan Turner,3900,Cle@Por 10:30PM ET,20.872,Por,1,0,26.143,15.429,19.875,20.250,27.500,23.400,0.364,5.000,222.000
SG/SF,Shabazz Muhammad,3800,Hou@Min 08:00PM ET,12.103,Min,1,0,15.071,7.181,15.500,13.500,25.000,22.800,0.045,3.500,218.500
C,Bismack Biyombo,3800,Orl@LAC 10:30PM ET,20.684,Orl,0,0,21.000,14.588,15.625,27.250,14.000,22.800,0.394,10.500,209.000
PG,Andrew Harrison,3700,Mem@OKC 08:00PM ET,17.718,Mem,0,0,18.500,11.261,10.938,5.000,21.000,22.200,0.314,4.500,204.000
PF,Richaun Holmes,3700,NY@Phi 07:00PM ET,16.393,Phi,1,1,14.143,7.667,16.438,10.750,20.000,22.200,0.251,2.000,211.500
SG,Sheldon McClellan,3600,Was@Bos 08:00PM ET,7.833,Was,0,0,10.714,2.250,6.500,2.750,12.000,21.600,0.033,5.500,217.500
PF/C,Kelly Olynyk,3600,Was@Bos 08:00PM ET,18.227,Bos,1,0,18.143,10.019,22.312,21.000,16.750,21.600,0.340,-5.500,217.500
PG,D.J. Augustin,3600,Orl@LAC 10:30PM ET,16.429,Orl,0,0,14.250,11.488,18.375,24.250,2.000,21.600,0.206,10.500,209.000
PF/C,Channing Frye,3600,Cle@Por 10:30PM ET,16.858,Cle,0,0,14.821,11.234,18.188,10.250,28.500,21.600,0.260,-5.000,222.000
SF/PF,Sam Dekker,3500,Hou@Min 08:00PM ET,15.263,Hou,0,0,14.214,10.315,13.625,12.750,6.000,21.000,0.211,-3.500,218.500
SG,Gerald Henderson,3500,NY@Phi 07:00PM ET,16.855,Phi,1,0,18.964,9.429,16.000,9.750,26.000,21.000,0.296,2.000,211.500
PG/SG,Iman Shumpert,3500,Cle@Por 10:30PM ET,15.354,Cle,0,0,14.286,10.900,12.812,4.500,10.500,21.000,0.181,-5.000,222.000
SG,J.R. Smith,3500,Cle@Por 10:30PM ET,17.321,Cle,0,1,13.429,11.300,19.688,8.250,10.000,21.000,0.317,-5.000,222.000
SF,James Ennis III,3400,Mem@OKC 08:00PM ET,17.625,Mem,0,0,17.071,11.404,16.438,17.750,7.000,20.400,0.360,4.500,204.000
C,Cole Aldrich,3400,Hou@Min 08:00PM ET,9.610,Min,1,0,5.571,5.145,5.500,3.500,26.000,20.400,0.077,3.500,218.500
PF/C,Kyle O'Quinn,3400,NY@Phi 07:00PM ET,17.056,NY,0,0,16.929,9.607,14.562,8.500,16.750,20.400,0.385,-2.000,211.500
SG,Jordan McRae,3400,Cle@Por 10:30PM ET,8.740,Cle,0,0,11.286,3.021,11.562,0.000,10.000,20.400,0.082,-5.000,222.000
SG/SF,Vince Carter,3300,Mem@OKC 08:00PM ET,17.697,Mem,0,0,15.357,12.829,16.125,11.250,9.500,19.800,0.385,4.500,204.000
C,Nene Hilario,3300,Hou@Min 08:00PM ET,15.171,Hou,0,0,15.393,9.544,19.125,22.750,15.000,19.800,0.238,-3.500,218.500
SF,Chandler Parsons,3200,Mem@OKC 08:00PM ET,11.482,Mem,0,0,9.607,6.667,11.562,12.750,7.000,19.200,0.084,4.500,204.000
PF,Domantas Sabonis,3200,Mem@OKC 08:00PM ET,14.455,OKC,1,0,14.071,9.450,13.625,12.750,3.500,19.200,0.244,-4.500,204.000
PG,Ron Baker,3200,NY@Phi 07:00PM ET,8.482,NY,0,0,9.286,3.464,12.062,21.750,16.000,19.200,0.067,-2.000,211.500
SG,Justin Holiday,3200,NY@Phi 07:00PM ET,14.678,NY,0,0,20.286,8.595,7.438,9.750,17.500,19.200,0.301,-2.000,211.500
