Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,O/U,odds,penalty
SF,Andre Iguodala,3700,GS@Cha 08:00PM ET,18.029,GS,0,1,19.464,12.550,23.875,0.000,22.000,22.200,223.500,-10.000,2.952
PG,Andrew Harrison,3700,Tor@Mem 08:00PM ET,16.802,MEM,1,0,10.571,10.510,7.875,0.000,13.500,22.200,200.500,-6.000,-9.199
SG/SF,Kyle Korver,3700,Sac@Cle 07:00PM ET,18.237,CLE,1,0,22.857,11.425,13.688,0.000,17.750,22.200,216.000,-12.000,-2.315
SF,Andre Roberson,3700,OKC@NO 08:00PM ET,18.389,OKC,0,0,19.214,10.900,15.312,0.000,23.000,22.200,217.500,-1.500,2.739
SF/PF,Michael Beasley,3600,Phi@Mil 08:00PM ET,16.324,MIL,1,0,18.393,8.514,14.875,0.000,12.000,21.600,207.000,-11.000,-9008.635
SG/SF,Thabo Sefolosha,3600,Atl@Chi 08:00PM ET,19.649,ATL,0,0,16.500,13.048,14.438,0.000,10.000,21.600,202.500,-1.500,-9007.795
SG/SF,Norman Powell,3600,Tor@Mem 08:00PM ET,11.396,TOR,0,0,8.571,5.279,14.438,0.000,6.750,21.600,200.500,6.000,-9009.199
SF/PF,Anthony Tolliver,3600,Sac@Cle 07:00PM ET,13.953,SAC,0,0,14.286,7.015,11.625,0.000,21.250,21.600,216.000,12.000,-2.315
PF/C,Channing Frye,3600,Sac@Cle 07:00PM ET,16.674,CLE,1,0,20.357,10.838,15.938,0.000,17.000,21.600,216.000,-12.000,-2.315
SG,Courtney Lee,3600,NY@Dal 08:30PM ET,18.854,NY,0,0,19.500,13.145,24.125,0.000,4.000,21.600,204.000,3.000,-9006.742
SG/SF,Allen Crabbe,3600,LAL@Por 10:30PM ET,17.951,POR,1,0,23.286,12.481,12.250,0.000,24.500,21.600,221.000,-8.500,1.197
PF/C,Spencer Hawes,3500,GS@Cha 08:00PM ET,16.258,CHA,1,0,11.321,9.235,20.062,0.000,16.500,21.000,223.500,10.000,2.952
SG,J.R. Smith,3500,Sac@Cle 07:00PM ET,17.321,CLE,1,1,17.750,11.300,19.688,0.000,25.000,21.000,216.000,-12.000,-2.315
SF,Omri Casspi,3500,Sac@Cle 07:00PM ET,13.614,SAC,0,1,16.964,7.100,9.062,0.000,27.000,21.000,216.000,12.000,-2.315
SG,Nik Stauskas,3400,Phi@Mil 08:00PM ET,16.518,PHI,0,0,18.643,11.143,13.250,0.000,16.000,20.400,207.000,11.000,-8.635
PG,Spencer Dinwiddie,3400,Mia@Bkn 07:30PM ET,14.107,BKN,1,0,17.464,6.825,15.125,0.000,8.000,20.400,215.000,3.000,-8999.017
PG,Shaun Livingston,3400,GS@Cha 08:00PM ET,11.413,GS,0,0,11.714,8.205,14.312,0.000,17.000,20.400,223.500,-10.000,2.952
SG/SF,Vince Carter,3400,Tor@Mem 08:00PM ET,17.737,MEM,1,0,18.179,12.852,19.750,0.000,7.000,20.400,200.500,-6.000,-9009.199
SG,Buddy Hield,3400,OKC@NO 08:00PM ET,15.600,NO,1,0,20.571,8.179,15.688,0.000,11.000,20.400,217.500,1.500,-8997.261
SF/PF,Dante Cunningham,3400,OKC@NO 08:00PM ET,15.156,NO,1,0,21.607,8.717,20.125,0.000,10.250,20.400,217.500,1.500,-8997.261
SF,Solomon Hill,3400,OKC@NO 08:00PM ET,15.523,NO,1,0,14.607,10.923,13.312,0.000,3.000,20.400,217.500,1.500,-8997.261
PF/C,Donatas Motiejunas,3400,OKC@NO 08:00PM ET,13.063,NO,1,0,13.083,7.650,11.500,0.000,15.750,20.400,217.500,1.500,2.739
C,John Henson,3300,Phi@Mil 08:00PM ET,18.134,MIL,1,0,18.571,11.607,19.875,0.000,27.000,19.800,207.000,-11.000,-8.635
PG,Isaiah Whitehead,3300,Mia@Bkn 07:30PM ET,16.063,BKN,1,0,17.357,11.355,16.750,0.000,8.000,19.800,215.000,3.000,-8999.017
PF/C,Justin Hamilton,3300,Mia@Bkn 07:30PM ET,16.533,BKN,1,0,18.536,10.500,16.062,0.000,11.500,19.800,215.000,3.000,-8999.017
PF,Patrick Patterson,3300,Tor@Mem 08:00PM ET,19.206,TOR,0,0,15.786,13.219,11.312,0.000,4.000,19.800,200.500,6.000,-9009.199
SF,Mindaugas Kuzminskas,3300,NY@Dal 08:30PM ET,10.994,NY,0,0,14.107,5.885,13.438,0.000,4.000,19.800,204.000,3.000,-9006.742
SG,E'Twaun Moore,3300,OKC@NO 08:00PM ET,17.945,NO,1,0,16.429,13.273,16.250,0.000,11.000,19.800,217.500,1.500,-8997.261
SF/PF,Larry Nance Jr.,3300,LAL@Por 10:30PM ET,18.784,LAL,0,0,16.179,11.850,17.188,0.000,24.750,19.800,221.000,8.500,1.197
SF,Tony Snell,3200,Phi@Mil 08:00PM ET,16.256,MIL,1,0,16.286,10.957,14.438,0.000,19.000,19.200,207.000,-11.000,-8.635
PF/C,Kris Humphries,3200,Atl@Chi 08:00PM ET,11.167,ATL,0,0,15.571,5.023,16.188,0.000,13.750,19.200,202.500,-1.500,-7.795
SF,Chandler Parsons,3200,Tor@Mem 08:00PM ET,12.737,MEM,1,0,14.179,7.143,16.312,0.000,12.000,19.200,200.500,-6.000,-9009.199
SF,James Ennis III,3200,Tor@Mem 08:00PM ET,17.320,MEM,1,0,12.393,11.047,14.375,0.000,12.000,19.200,200.500,-6.000,-9009.199
SG,Justin Holiday,3200,NY@Dal 08:30PM ET,15.033,NY,0,0,17.143,9.357,19.125,0.000,4.000,19.200,204.000,3.000,-9006.742
PF,Dwight Powell,3100,NY@Dal 08:30PM ET,17.705,DAL,1,0,16.893,11.979,16.062,0.000,21.000,18.600,204.000,-3.000,-6.742
SF/PF,Jerami Grant,3100,OKC@NO 08:00PM ET,13.267,OKC,0,0,13.429,9.393,14.688,0.000,24.750,18.600,217.500,-1.500,2.739
