Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
3200,3200,3200,3200,0,7.625,5.625,2,13.25,203107,WAS,202,-4,1,POR,,21700279,PG/SG,Tomas Satoransky,Tomas Satoransky,7.5,9.791232091,10.37611111
4300,4700,4540,4500,80,19.15,7.455870171,9.5,30.5,1626162,WAS,202,-4,1,POR,,21700279,SG/SF,Kelly Oubre Jr.,Kelly Oubre Jr.,23.75,17.0056724,19.85833333
3500,3400,3333.3333,3200,94.28090416,11.66666667,7.315318782,3.5,21.25,203118,WAS,202,-4,1,POR,,21700279,PF,Mike Scott,Mike Scott,10.25,12.35734215,8.83139881
3000,3000,3000,3000,0,3.5,0,3.5,3.5,1626191,WAS,202,-4,1,POR,,21700279,PF/C,Chris McCullough,Chris McCullough,3.5,8.035219823,2.114375
3600,3600,3480,3400,74.83314774,11.7,7.495665414,6.25,26.5,204025,WAS,202,-4,1,POR,,21700279,PG,Tim Frazier,Tim Frazier,15,13.72449547,14.1171131
3400,3400,3400,3400,0,7.55,4.691481642,2.5,15.75,101133,WAS,202,-4,1,POR,,21700279,C,Ian Mahinmi,Ian Mahinmi,7.5,10.60960873,7.531666667
3500,3500,3500,3500,0,5.75,0,5.75,5.75,201160,WAS,202,-4,1,POR,,21700279,PF/C,Jason Smith,Jason Smith,12.75,9.588749467,12.5860119
4500,4800,4720,4600,74.83314774,17.5,5.470374759,11.5,26.75,202693,WAS,202,-4,1,POR,,21700279,SF/PF,Markieff Morris,Markieff Morris,23.75,19.68669018,21.9014881
3900,3700,3700,3700,0,25.75,0,25.75,25.75,1626181,TOR,209,-7,0,ATL,,21700280,SG/SF,Norman Powell,Norman Powell,19.75,19.9438157,18.43865079
3700,3800,3440,3000,361.1094017,12.5,5.798706752,7,23.5,1628384,TOR,209,-7,0,ATL,,21700280,SF/PF,OG Anunoby,OG Anunoby,13.75,14.44845063,16.68821429
4900,5300,5150,5000,111.8033989,20,2.833946012,15.25,22.75,201586,TOR,209,-7,0,ATL,,21700280,PF/C,Serge Ibaka,Serge Ibaka,19.5,24.48244302,22.49508929
3800,3800,3680,3600,97.97958971,19.95,7.822084121,9.75,32.5,1627783,TOR,209,-7,0,ATL,,21700280,PF,Pascal Siakam,Pascal Siakam,18,17.78613712,21.90650794
8200,8400,8040,7600,287.0540019,42.9,11.23454494,23.75,58,201942,TOR,209,-7,0,ATL,,21700280,SG/SF,DeMar DeRozan,DeMar DeRozan,41.75,41.58189645,40.94319444
