max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Neural Network,Random Forest
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3300.0,3300.0,3300.0,3300.0,0.0,5.3,4.4955533586,2.5,14.25,1628464.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Daniel Theis,8.25,10.555556543323213,7.613214285714285
3500.0,3800.0,3600.0,3500.0,115.470053838,11.6666666667,8.90653630144,5.5,30.75,203382.0,C,BOS,205.0,-4.0,0,IND,,21700281.0,Aron Baynes,13.25,13.188883545559772,10.246041666666667
6000.0,6200.0,5983.3333,5700.0,177.169096879,29.2916666667,7.07904281822,18.5,37.75,1628369.0,SF/PF,BOS,205.0,-4.0,0,IND,,21700281.0,Jayson Tatum,24.5,27.796758612359632,28.224242424242426
7000.0,7600.0,7366.6667,6900.0,274.873708375,30.2916666667,3.81722157538,24.5,36.25,201143.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Al Horford,31.0,31.495647478924532,32.407291666666666
8300.0,8500.0,8300.0,8100.0,152.752523165,42.9166666667,9.61083011792,34.25,62.75,202681.0,PG,BOS,205.0,-4.0,0,IND,,21700281.0,Kyrie Irving,34.25,38.79300159986843,36.52625
3200.0,3500.0,3275.0,3200.0,129.903810568,3.75,2.45586033805,0.0,6.5,203499.0,PG,BOS,205.0,-4.0,0,IND,,21700281.0,Shane Larkin,4.75,9.835761907213094,8.553333333333333
6300.0,7200.0,6860.0,6700.0,185.47236991,28.6,11.1731821788,17.75,49.75,1626167.0,C,IND,205.0,4.0,1,BOS,,21700281.0,Myles Turner,32.75,31.90564576072073,31.170416666666664
3000.0,3000.0,3000.0,3000.0,0.0,4.5,3.19667796314,0.0,8.75,1628388.0,SF/PF,IND,205.0,4.0,1,BOS,,21700281.0,TJ Leaf,5.0,8.17144728860361,6.384821428571429
5900.0,6300.0,6080.0,5700.0,222.710574513,29.55,6.67345487735,17.0,36.75,201152.0,SF/PF,IND,205.0,4.0,1,BOS,,21700281.0,Thaddeus Young,26.75,31.833419284936276,32.79029761904762
3500.0,3700.0,3620.0,3600.0,40.0,17.95,7.07354225265,6.25,26.25,202709.0,PG,IND,205.0,4.0,1,BOS,,21700281.0,Cory Joseph,15.0,16.332719315915394,17.67375
7800.0,8000.0,7600.0,7100.0,289.827534924,43.85,13.5135117568,27.75,65.75,203506.0,PG/SG,IND,205.0,4.0,1,BOS,,21700281.0,Victor Oladipo,43.0,36.83603485089043,41.9391369047619
5800.0,6100.0,5940.0,5500.0,224.499443206,33.9,5.66259657754,30.0,45.0,201954.0,PG,IND,205.0,4.0,1,BOS,,21700281.0,Darren Collison,26.75,30.34452366298907,35.65749999999999
4600.0,4500.0,4420.0,4300.0,74.8331477355,29.05,8.20731381147,21.75,40.75,202711.0,SG/SF,IND,205.0,4.0,1,BOS,,21700281.0,Bojan Bogdanovic,23.5,25.679501626542123,20.34083333333333
3000.0,3000.0,3000.0,3000.0,0.0,1.0,0.0,1.0,1.0,1626202.0,PG/SG,IND,205.0,4.0,1,BOS,,21700281.0,Joe Young,3.5,7.47131862685917,1.6037202380952382
3500.0,3700.0,3560.0,3500.0,80.0,21.65,6.29007154172,9.25,26.25,202362.0,SG/SF,IND,205.0,4.0,1,BOS,,21700281.0,Lance Stephenson,19.5,17.861628850101305,20.67827380952381
3000.0,3000.0,3000.0,3000.0,0.0,2.0,0.0,2.0,2.0,2863.0,SG/SF,IND,205.0,4.0,1,BOS,,21700281.0,Damien Wilkins,5.75,7.6175064406322575,2.9104464285714284
5600.0,5900.0,5680.0,5300.0,203.960780544,23.7,4.20238027789,15.5,27.5,1627734.0,PF/C,IND,205.0,4.0,1,BOS,,21700281.0,Domantas Sabonis,25.5,29.428944445406948,26.516041666666666
3700.0,3900.0,3750.0,3700.0,76.3762615826,20.875,9.10557292724,10.5,37.0,101127.0,PG,NYK,217.0,15.0,0,HOU,,21700282.0,Jarrett Jack,15.25,20.35673812797316,19.328809523809525
