Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
SF/PF,Anthony Tolliver,3500,DET@OKC 11/24/2017 08:00PM ET,14.393,DET,14.1875,10.5,12.13107901,13.79083333
SG/SF,Shabazz Muhammad,3500,MIA@MIN 11/24/2017 08:00PM ET,7.556,MIN,7.5,5.25,7.331070958,7.881845238
SG/SF,Ben McLemore,3500,MEM@DEN 11/24/2017 09:00PM ET,9.458,MEM,11.6875,4.75,14.40011778,4.16125
SF/PF,Lance Thomas,3400,NY@ATL 11/24/2017 07:30PM ET,8.357,NY,7.75,6.75,8.871103334,5.902301587
PG/SG,Malcolm Delaney,3400,NY@ATL 11/24/2017 07:30PM ET,12.828,ATL,11,13.25,13.161519,13.26791667
PF/C,Guillermo Hernangomez,3400,NY@ATL 11/24/2017 07:30PM ET,7.583,NY,#N/A,#N/A,#N/A,#N/A
PG,Shelvin Mack,3400,ORL@BOS 11/24/2017 07:30PM ET,16.317,ORL,8.75,11.75,11.97754147,10.04375
C,Lucas Nogueira,3400,TOR@IND 11/24/2017 08:00PM ET,12.857,TOR,6.75,7.75,11.71520949,9.306597222
PF/C,Dragan Bender,3400,NO@PHO 11/24/2017 09:00PM ET,14.487,PHO,16.125,14,16.2599938,13.21007576
PF,Jared Dudley,3400,NO@PHO 11/24/2017 09:00PM ET,11.35,PHO,#N/A,#N/A,#N/A,#N/A
PG/SG,Ian Clark,3400,NO@PHO 11/24/2017 09:00PM ET,10.95,NO,5.625,9,9.890456717,5.6325
PF/C,Channing Frye,3400,CHA@CLE 11/24/2017 08:00PM ET,8.844,CLE,14.75,7,13.37832183,12.85553571
SG/SF,Dwayne Bacon,3400,CHA@CLE 11/24/2017 08:00PM ET,12.309,CHA,5,10.75,15.62985737,14.68034091
SG/SF,Alex Abrines,3400,DET@OKC 11/24/2017 08:00PM ET,8.324,OKC,8.5,8.25,8.121503795,7.07968254
C,Dakari Johnson,3400,DET@OKC 11/24/2017 08:00PM ET,6.722,OKC,2.6875,6,6.575241766,4.977083333
SG/SF,Wayne Ellington,3400,MIA@MIN 11/24/2017 08:00PM ET,12.75,MIA,14.5,10.25,11.81201784,8.450151515
SF/PF,Nemanja Bjelica,3400,MIA@MIN 11/24/2017 08:00PM ET,13.514,MIN,12.5,9.25,10.56387934,8.093888889
PF/C,Jarell Martin,3400,MEM@DEN 11/24/2017 09:00PM ET,12.641,MEM,6.333333333,7.5,14.31043898,12.2989881
PG/SG,Andrew Harrison,3400,MEM@DEN 11/24/2017 09:00PM ET,8.875,MEM,5.375,5.75,12.41292495,4.721111111
PG,Isaiah Taylor,3300,NY@ATL 11/24/2017 07:30PM ET,12.519,ATL,#N/A,#N/A,#N/A,#N/A
SF/PF,Michael Beasley,3300,NY@ATL 11/24/2017 07:30PM ET,10.229,NY,11.125,10.75,7.484504882,8.722083333
PF,Tyler Cavanaugh,3300,NY@ATL 11/24/2017 07:30PM ET,7.583,ATL,8.125,7.75,8.476939774,10.29571429
PG,Ramon Sessions,3300,NY@ATL 11/24/2017 07:30PM ET,13.708,NY,9.375,12.5,7.895071331,12.7064881
SG,Damyean Dotson,3300,NY@ATL 11/24/2017 07:30PM ET,5.1,NY,3.75,3,6.255811446,2.943511905
PF/C,Daniel Theis,3300,ORL@BOS 11/24/2017 07:30PM ET,10.889,BOS,5.3,6,9.859874139,11.40039683
SF/PF,Jonathan Isaac,3300,ORL@BOS 11/24/2017 07:30PM ET,16.229,ORL,#N/A,#N/A,#N/A,#N/A
PF/C,Jakob Poeltl,3300,TOR@IND 11/24/2017 08:00PM ET,14.809,TOR,9.7,12,13.30776291,10.33354167
SG,Troy Daniels,3300,NO@PHO 11/24/2017 09:00PM ET,9.342,PHO,18.9375,6,8.438176938,10.51473214
SF,Darius Miller,3300,NO@PHO 11/24/2017 09:00PM ET,10.931,NO,18.5,13.75,13.43111145,8.540833333
PF,Cheick Diallo,3300,NO@PHO 11/24/2017 09:00PM ET,6.375,NO,9,4.5,7.68603255,3.576666667
SG,Nick Young,3300,CHI@GS 11/24/2017 10:30PM ET,11.059,GS,9.625,10.5,12.20672593,11.83488095
PF/C,Ante Zizic,3300,CHA@CLE 11/24/2017 08:00PM ET,4.65,CLE,0,5,6.316997713,7.3375
SG/SF,Andre Roberson,3300,DET@OKC 11/24/2017 08:00PM ET,13.088,OKC,12.4375,16.25,16.92872688,18.99672619
SG,Luke Kennard,3300,DET@OKC 11/24/2017 08:00PM ET,10.979,DET,13.3125,11.5,11.01769148,7.805277778
