Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PF/C,Taj Gibson,5100,MIA@MIN 11/24/2017 08:00PM ET,25.347,MIN,23.85,23,23.47705403,19.24130952,1
SG,Gary Harris,5100,MEM@DEN 11/24/2017 09:00PM ET,25.781,DEN,31.58333333,26.5,23.98149582,23.0047619,1
PF/C,Serge Ibaka,5000,TOR@IND 11/24/2017 08:00PM ET,23.017,TOR,19.4375,23.25,21.24116832,25.15982143,0
PF/C,Nikola Mirotic,5000,CHI@GS 11/24/2017 10:30PM ET,0,CHI,0,0,0,0,0
SF/PF,Marcus Morris,4900,ORL@BOS 11/24/2017 07:30PM ET,24.175,BOS,25.2,23.25,26.68915727,28.98779762,1
PG,Rajon Rondo,4900,NO@PHO 11/24/2017 09:00PM ET,17.9,NO,17.4375,21.75,20.94523005,23.99020833,0
SF/PF,Wilson Chandler,4900,MEM@DEN 11/24/2017 09:00PM ET,20.162,DEN,32.66666667,25.25,22.72416281,28.31619048,1
PF/C,John Collins,4800,NY@ATL 11/24/2017 07:30PM ET,24.903,ATL,26.875,22,23.97639434,20.55455357,1
C,Jonas Valanciunas,4800,TOR@IND 11/24/2017 08:00PM ET,21.654,TOR,18.6,23.75,20.08750455,18.69607143,0
PF/C,Greg Monroe,4700,NO@PHO 11/24/2017 09:00PM ET,21.167,PHO,25.66666667,22,24.24453316,25.87168651,1
C,Robin Lopez,4700,CHI@GS 11/24/2017 10:30PM ET,24.625,CHI,18.625,21,27.32830819,17.75986111,0
SG/SF,Courtney Lee,4600,NY@ATL 11/24/2017 07:30PM ET,24.25,NY,26.125,26.75,24.06394884,21.5389881,0
SG/SF,Bojan Bogdanovic,4500,TOR@IND 11/24/2017 08:00PM ET,23.431,IND,27.1,29.5,21.81706753,24.16210317,1
PF/C,Alex Len,4500,NO@PHO 11/24/2017 09:00PM ET,24.059,PHO,27.9375,23.75,24.83172944,25.93553571,1
PG/SG,Zach LaVine,4500,CHI@GS 11/24/2017 10:30PM ET,0,CHI,0,0,0,0,0
SG/SF,Josh Richardson,4500,MIA@MIN 11/24/2017 08:00PM ET,19.779,MIA,19.8125,23.75,19.81557215,23.19333333,0
