max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3300.0,3600.0,3466.6667,3300.0,137.436854187,9.83333333333,3.71277823499,2.25,14.5,1627751.0,PF/C,TOR,209.0,-7.0,0,ATL,,21700280.0,Jakob Poeltl,22.25,14.562456597222223,13.957496321262125
3500.0,3500.0,3250.0,3000.0,250.0,20.7916666667,7.28642668864,13.25,35.25,1627832.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Fred VanVleet,24.0,19.49540550595238,30.95755865161607
7700.0,8200.0,7866.6667,7300.0,329.983164554,46.9583333333,9.02013565431,28.75,57.0,200768.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Kyle Lowry,25.5,36.436036706349206,29.969427319424735
4800.0,5200.0,4933.3333,4700.0,169.96731712,19.3333333333,6.53622385038,10.75,31.0,202685.0,C,TOR,209.0,-7.0,0,ATL,,21700280.0,Jonas Valanciunas,26.25,22.58883928571429,18.44061899170799
3000.0,3000.0,3000.0,3000.0,0.0,5.16666666667,2.55223213852,2.0,8.25,203485.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Lorenzo Brown,20.25,11.63173363095238,11.24462255167921
3400.0,3400.0,3400.0,3400.0,0.0,5.625,7.56051971318,0.0,20.0,203512.0,C,TOR,209.0,-7.0,0,ATL,,21700280.0,Lucas Nogueira,21.5,13.90296773538961,14.712306545995247
3900.0,3700.0,3700.0,3700.0,0.0,23.625,2.125,21.5,25.75,1626181.0,SG/SF,TOR,209.0,-7.0,0,ATL,,21700280.0,Norman Powell,23.0,21.202624458874453,24.775491769403406
3700.0,3800.0,3483.3333,3000.0,343.592135468,11.4583333333,5.78326729069,6.25,23.5,1628384.0,SF/PF,TOR,209.0,-7.0,0,ATL,,21700280.0,OG Anunoby,23.5,19.536300223214283,16.92967879194351
4900.0,5300.0,5140.0,5000.0,101.980390272,20.2,2.56612548407,15.25,22.75,201586.0,PF/C,TOR,209.0,-7.0,0,ATL,,21700280.0,Serge Ibaka,22.25,18.812909226190474,18.382820306664172
3400.0,3700.0,3540.0,3500.0,80.0,9.75,4.51386752132,4.75,18.0,1627098.0,PG/SG,ATL,209.0,7.0,1,TOR,,21700280.0,Malcolm Delaney,20.75,14.863758680555554,13.084638567859008
3300.0,3400.0,3250.0,3000.0,180.277563773,12.125,8.91715341351,1.5,28.5,1628463.0,PF,ATL,209.0,7.0,1,TOR,,21700280.0,Tyler Cavanaugh,23.0,18.587183779761904,8.03314979805964
4800.0,5300.0,5050.0,4600.0,221.735578261,29.875,12.1481737311,17.5,55.0,203473.0,C,ATL,209.0,7.0,1,TOR,,21700280.0,Dewayne Dedmon,22.25,25.563746279761908,26.449166909454327
3700.0,3900.0,3850.0,3800.0,50.0,10.875,6.63442725486,2.75,20.0,101141.0,SF/PF,ATL,209.0,7.0,1,TOR,,21700280.0,Ersan Ilyasova,20.75,15.786022050865801,11.479656069458585
4900.0,5300.0,5066.6667,4800.0,159.861050777,26.125,9.38388467889,10.75,41.25,1627752.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,Taurean Prince,19.75,24.531482514880956,27.031793538039622
5200.0,4800.0,4650.0,4400.0,138.443731049,28.375,7.11622266375,20.0,39.5,1628381.0,PF/C,ATL,209.0,7.0,1,TOR,,21700280.0,John Collins,9.0,19.713967803030304,22.917143863892925
4000.0,4100.0,3916.6667,3800.0,106.718737291,23.8333333333,7.56040489803,9.5,31.25,201158.0,SG,ATL,209.0,7.0,1,TOR,,21700280.0,Marco Belinelli,23.5,21.358132102272727,25.612483912470854
5300.0,5500.0,5233.3333,4900.0,221.108319357,28.875,9.13754844948,19.25,44.5,203145.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,Kent Bazemore,9.0,21.91810515873016,21.254887969832996
3000.0,3000.0,3000.0,3000.0,0.0,4.375,3.90712490202,0.0,8.75,1627761.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,DeAndre' Bembry,22.0,11.858556547619047,13.328549141866954
6700.0,7100.0,6683.3333,6300.0,240.947204913,34.75,6.70198975429,23.0,43.0,203471.0,PG,ATL,209.0,7.0,1,TOR,,21700280.0,Dennis Schroder,25.5,28.352641369047618,19.968023784370267
3000.0,3000.0,3000.0,3000.0,0.0,11.25,5.25,6.0,16.5,203705.0,PG,ATL,209.0,7.0,1,TOR,,21700280.0,Josh Magette,19.75,14.588746279761903,13.522773086490037
6300.0,6700.0,6516.6667,6300.0,121.335164821,31.5416666667,6.29056281707,20.75,40.25,1627759.0,SG/SF,BOS,205.0,-4.0,0,IND,,21700281.0,Jaylen Brown,26.5,28.319949776785716,25.355113854918343
