Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
SG/SF,Nicolas Batum,8000,OKC@Cha 07:00PM ET,36.632,Cha,1,0,45.964,28.176,42.250,35.500,9.500,48.000,0.137,-2.000,208.500,0.361,37.250
C,Hassan Whiteside,7900,Mia@Sac 10:30PM ET,42.316,Mia,0,1,33.429,30.109,28.625,26.000,11.000,47.400,0.355,7.500,204.000,-18.606,0.000
PG,Kyrie Irving,7800,Chi@Cle 08:00PM ET,40.069,Cle,1,1,48.464,32.383,52.312,62.750,12.000,46.800,0.266,-4.000,204.000,-2.885,0.000
C,Marc Gasol,7800,Mem@LAC 10:30PM ET,38.421,Mem,0,0,41.357,28.078,38.000,41.500,14.000,46.800,0.248,-1.500,197.000,-7.933,43.000
PF/C,Blake Griffin,7700,Mem@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,46.250,2.250,46.200,0.307,1.500,197.000,-22.377,0.000
PF,Paul Millsap,7600,Atl@Orl 07:00PM ET,38.444,Atl,0,0,35.786,26.712,37.812,56.750,11.000,45.600,0.279,-2.000,207.000,-0.721,36.000
PF/C,Draymond Green,7500,Por@GS 10:30PM ET,39.689,GS,1,0,39.821,34.211,38.250,49.500,28.500,45.000,0.269,-16.000,222.500,10.457,42.250
C,Dwight Howard,7300,Atl@Orl 07:00PM ET,36.925,Atl,0,0,38.286,24.521,37.312,18.500,18.500,43.800,0.290,-2.000,207.000,-0.721,35.000
SF/PF,Jabari Parker,7200,Mil@NY 07:30PM ET,34.000,Mil,0,0,36.464,25.779,41.000,30.500,17.000,43.200,0.186,-3.500,213.000,3.606,26.500
SF,Carmelo Anthony,7100,Mil@NY 07:30PM ET,36.508,NY,1,0,37.321,27.972,29.625,39.750,29.000,42.600,0.305,3.500,213.000,3.606,60.750
PF,Kristaps Porzingis,7000,Mil@NY 07:30PM ET,38.000,NY,1,1,35.893,29.632,41.875,50.000,16.500,42.000,0.362,3.500,213.000,3.606,0.000
C,DeAndre Jordan,7000,Mem@LAC 10:30PM ET,34.000,LAC,1,0,34.393,28.188,40.438,41.500,1.000,42.000,0.169,1.500,197.000,-27.933,47.500
PG,Goran Dragic,6900,Mia@Sac 10:30PM ET,35.384,Mia,0,0,34.393,27.625,32.750,43.250,17.500,41.400,0.300,7.500,204.000,-4.885,33.750
