Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final,NN2,RF2
PF/C,Channing Frye,4600,SA@Cle 08:30PM ET,17.088,CLE,1,0,20.321,10.972,18.812,1.709,-2.367,2.750,27.600,211.500,-2.500,12.500,20.754,16.758
SG/SF,Kent Bazemore,4500,Phi@Atl 07:00PM ET,21.415,ATL,1,0,20.643,13.200,22.875,0.000,-25.290,19.000,27.000,198.500,-10.000,23.500,20.666,23.079
C,Nerlens Noel,4500,Phi@Atl 07:00PM ET,16.400,PHI,0,0,18.679,10.062,17.000,0.000,-5.739,4.000,27.000,198.500,10.000,8.750,18.357,19.128
SG,Jamal Crawford,4500,LAC@Den 09:00PM ET,18.989,LAC,0,0,16.929,12.073,12.875,1.899,1.932,29.000,27.000,222.500,5.000,22.000,18.865,19.141
SG/SF,Josh Richardson,4500,Mil@Mia 07:30PM ET,22.473,MIA,1,1,22.643,15.467,23.500,0.000,-2270.823,22.500,27.000,206.000,-1.500,0.000,20.749,17.266
PG,Tony Parker,4500,SA@Cle 08:30PM ET,21.414,SA,0,1,21.321,15.206,23.750,0.000,-2141.232,18.000,27.000,211.500,2.500,0.000,18.847,17.073
SG,Gary Harris,4400,LAC@Den 09:00PM ET,22.292,DEN,1,1,21.964,11.750,19.062,2.229,-2248.626,7.500,26.400,222.500,-5.000,0.000,20.955,19.196
PG,Michael Carter-Williams,4400,Sac@Chi 09:00PM ET,19.000,CHI,1,0,19.643,13.861,21.750,0.000,-5.007,22.000,26.400,205.000,-6.500,13.250,19.947,22.641
SF/PF,Matt Barnes,4400,Sac@Chi 09:00PM ET,19.032,SAC,0,0,18.786,12.310,16.750,0.000,-5.016,13.750,26.400,205.000,6.500,8.250,18.199,15.383
C,Robin Lopez,4400,Sac@Chi 09:00PM ET,22.739,CHI,1,0,20.929,16.524,27.125,0.000,-2052.503,11.000,26.400,205.000,-6.500,24.000,20.532,21.649
SG,Bojan Bogdanovic,4400,Bkn@Cha 07:00PM ET,21.988,BKN,0,0,17.643,15.719,24.438,0.000,-2.368,18.000,26.400,221.500,12.000,25.250,19.245,16.883
SG,Tony Allen,4400,Hou@Mem 08:00PM ET,22.559,MEM,1,0,22.571,15.825,26.062,0.000,0.804,26.500,26.400,215.500,1.500,13.000,20.494,19.090
SF,T.J. Warren,4400,Pho@NY 07:30PM ET,23.466,PHO,0,0,20.500,11.964,20.188,0.000,2.388,14.000,26.400,222.500,5.500,10.750,18.618,24.720
SG/SF,Joe Ingles,4400,Ind@Uta 09:00PM ET,15.449,UTA,1,0,15.750,7.635,18.938,0.000,-4.801,19.750,26.400,200.000,-7.500,24.000,19.179,22.082
SG,Rodney Hood,4400,Ind@Uta 09:00PM ET,23.547,UTA,1,1,24.464,15.625,28.000,0.000,-2361.782,26.500,26.400,200.000,-7.500,0.000,20.445,15.272
SF/PF,Anthony Tolliver,4300,Sac@Chi 09:00PM ET,14.208,SAC,0,0,16.643,7.062,17.188,0.000,-3.744,13.750,25.800,205.000,6.500,7.750,17.105,12.859
PF/C,Marreese Speights,4200,LAC@Den 09:00PM ET,19.813,LAC,0,0,22.536,14.096,24.188,0.000,2.016,13.500,25.200,222.500,5.000,27.250,17.588,20.810
PF,Jon Leuer,4200,Was@Det 06:00PM ET,22.711,DET,1,1,21.393,15.562,13.875,0.000,-2289.827,23.500,25.200,208.000,-1.000,26.750,19.392,18.005
PG/SG,Garrett Temple,4200,Sac@Chi 09:00PM ET,17.720,SAC,0,0,26.000,12.478,20.188,0.000,-4.670,14.000,25.200,205.000,6.500,21.750,17.153,22.351
SF,Doug McDermott,4200,Sac@Chi 09:00PM ET,17.105,CHI,1,0,18.464,10.375,22.375,0.000,-1543.958,11.000,25.200,205.000,-6.500,5.000,18.668,21.603
C,Tristan Thompson,4200,SA@Cle 08:30PM ET,23.762,CLE,1,1,22.393,18.240,19.812,0.000,-2395.397,3.000,25.200,211.500,-2.500,33.500,19.832,17.258
SG/SF,Evan Turner,4100,Por@Bos 05:00PM ET,21.119,POR,0,0,20.429,15.652,20.562,0.000,-2.972,14.500,24.600,218.000,8.000,28.000,17.528,16.367
SG,Sean Kilpatrick,4100,Bkn@Cha 07:00PM ET,24.543,BKN,0,1,20.964,15.830,16.938,0.000,-2484.948,18.000,24.600,221.500,12.000,30.000,18.022,12.742
SF/PF,Michael Beasley,4100,Mil@Mia 07:30PM ET,16.583,MIL,0,0,22.429,9.434,18.062,0.000,-1509.834,7.750,24.600,206.000,1.500,7.000,16.000,14.245
SG/SF,Kyle Korver,4100,SA@Cle 08:30PM ET,18.682,CLE,1,0,23.679,11.583,18.375,0.000,-1681.420,12.500,24.600,211.500,-2.500,9.500,18.545,16.247
SF,Mindaugas Kuzminskas,4100,Pho@NY 07:30PM ET,11.169,NY,1,0,19.071,5.716,19.500,0.000,1.137,25.000,24.600,222.500,-5.500,10.250,15.736,10.584
PG,Sergio Rodriguez,4000,Phi@Atl 07:00PM ET,22.372,PHI,0,0,22.679,14.105,16.500,0.000,-29.921,23.500,24.000,198.500,10.000,0.000,17.009,22.397
SF,Maurice Harkless,4000,Por@Bos 05:00PM ET,22.919,POR,0,0,19.357,14.861,15.312,0.000,-21.737,17.500,24.000,218.000,8.000,1.500,17.149,19.864
PF/C,Amir Johnson,4000,Por@Bos 05:00PM ET,17.207,BOS,1,0,21.929,10.534,15.625,0.000,-2.422,29.000,24.000,218.000,-8.000,19.250,18.491,17.976
SG/SF,Stanley Johnson,4000,Was@Det 06:00PM ET,10.838,DET,1,0,9.321,5.352,19.625,0.000,-975.802,13.000,24.000,208.000,-1.000,14.500,13.808,22.438
PG,Ty Lawson,4000,Sac@Chi 09:00PM ET,20.100,SAC,0,0,21.429,12.139,19.250,0.000,-5.297,14.000,24.000,205.000,6.500,21.250,16.613,19.609
SG,Jeremy Lamb,4000,Bkn@Cha 07:00PM ET,18.536,CHA,1,1,15.429,8.188,19.812,0.000,-1855.411,30.000,24.000,221.500,-12.000,0.000,19.393,17.736
SF,Rondae Hollis-Jefferson,4000,Bkn@Cha 07:00PM ET,19.638,BKN,0,0,20.143,13.560,24.438,0.000,-2.115,19.500,24.000,221.500,12.000,16.000,17.439,16.568
C,Clint Capela,4000,Hou@Mem 08:00PM ET,26.323,HOU,0,0,20.750,18.950,20.000,0.000,-2368.132,1.000,24.000,215.500,-1.500,15.000,16.924,15.353
PG,Shelvin Mack,4000,Ind@Uta 09:00PM ET,16.195,UTA,1,0,14.107,8.961,4.875,0.000,-18.440,16.500,24.000,200.000,-7.500,0.000,17.329,20.141
PG,Rajon Rondo,3900,Sac@Chi 09:00PM ET,26.686,CHI,1,0,25.536,18.125,15.188,0.000,-7.033,22.000,23.400,205.000,-6.500,7.500,18.692,14.527
C,Willie Reed,3900,Mil@Mia 07:30PM ET,13.544,MIA,1,0,10.464,7.545,13.812,0.000,-1219.693,13.000,23.400,206.000,-1.500,9.750,15.327,12.519
PG/SG,Iman Shumpert,3900,SA@Cle 08:30PM ET,16.163,CLE,1,0,17.357,11.159,23.438,0.000,-0.035,14.000,23.400,211.500,-2.500,22.750,17.168,15.166
SF/PF,P.J. Tucker,3900,Pho@NY 07:30PM ET,18.107,PHO,0,0,16.821,10.250,20.188,0.000,1.843,17.500,23.400,222.500,5.500,27.250,16.286,19.250
C,Dewayne Dedmon,3800,SA@Cle 08:30PM ET,15.451,SA,0,0,11.750,8.926,18.750,0.000,-1390.623,6.000,22.800,211.500,2.500,7.000,14.963,16.918
PF,Richaun Holmes,3700,Phi@Atl 07:00PM ET,16.393,PHI,0,0,17.107,7.667,16.438,0.000,-5.327,17.500,22.200,198.500,10.000,0.000,14.892,8.470
SG/SF,Allen Crabbe,3700,Por@Bos 05:00PM ET,17.972,POR,0,0,16.393,12.300,11.938,0.000,-16.590,14.500,22.200,218.000,8.000,17.000,15.697,14.734
PG,Jameer Nelson,3700,LAC@Den 09:00PM ET,19.104,DEN,1,0,17.500,11.978,22.438,0.000,-1717.416,2.500,22.200,222.500,-5.000,20.000,17.351,15.696
C,Aron Baynes,3700,Was@Det 06:00PM ET,10.571,DET,1,0,9.750,6.560,12.875,0.000,-951.762,9.000,22.200,208.000,-1.000,12.250,11.660,15.027
SG/SF,Marco Belinelli,3700,Bkn@Cha 07:00PM ET,18.434,CHA,1,0,15.643,12.762,16.688,0.000,-1.985,30.000,22.200,221.500,-12.000,23.750,18.004,18.095
PF,Frank Kaminsky,3700,Bkn@Cha 07:00PM ET,21.030,CHA,1,0,25.000,14.978,19.500,0.000,-2.265,29.000,22.200,221.500,-12.000,21.500,18.410,15.842
PG,Andrew Harrison,3700,Hou@Mem 08:00PM ET,17.024,MEM,1,0,11.964,10.630,7.250,0.000,-1531.553,9.000,22.200,215.500,1.500,7.500,16.307,12.087
PG,Dejounte Murray,3700,SA@Cle 08:30PM ET,6.405,SA,0,0,5.143,2.000,13.688,0.000,-0.014,18.000,22.200,211.500,2.500,24.500,7.809,13.416
SG,Manu Ginobili,3700,SA@Cle 08:30PM ET,18.181,SA,0,0,19.679,12.679,18.938,0.000,-0.039,28.000,22.200,211.500,2.500,15.500,14.904,11.910
SG/SF,Thabo Sefolosha,3600,Phi@Atl 07:00PM ET,19.781,ATL,1,0,16.857,12.632,15.062,0.000,-6.428,19.000,21.600,198.500,-10.000,15.750,16.035,13.136
PG,Spencer Dinwiddie,3600,Bkn@Cha 07:00PM ET,13.921,BKN,0,0,18.214,6.556,16.625,0.000,-1.499,19.000,21.600,221.500,12.000,9.250,15.422,21.815
SG,Nik Stauskas,3500,Phi@Atl 07:00PM ET,16.449,PHI,0,0,16.536,10.963,10.625,0.000,-5.345,24.000,21.000,198.500,10.000,21.000,14.159,13.840
SG,Reggie Bullock,3500,Was@Det 06:00PM ET,12.357,DET,1,0,13.938,5.438,14.062,0.000,-1112.565,10.000,21.000,208.000,-1.000,17.750,11.877,13.717
SF,Omri Casspi,3500,Sac@Chi 09:00PM ET,13.614,SAC,0,1,16.964,7.100,9.062,0.000,-1374.522,10.000,21.000,205.000,6.500,0.000,12.782,7.755
PF/C,Spencer Hawes,3500,Bkn@Cha 07:00PM ET,16.258,CHA,1,0,11.321,9.235,20.062,0.000,-1.751,29.500,21.000,221.500,-12.000,0.000,16.677,20.054
C,John Henson,3500,Mil@Mia 07:30PM ET,18.006,MIL,0,0,12.429,11.643,18.312,0.000,-0.974,18.000,21.000,206.000,1.500,23.250,13.596,17.986
SG,J.R. Smith,3500,SA@Cle 08:30PM ET,17.321,CLE,1,1,17.750,11.300,19.688,0.000,-1745.269,23.000,21.000,211.500,-2.500,0.000,15.383,17.954
SG,Danny Green,3500,SA@Cle 08:30PM ET,17.750,SA,0,0,16.214,10.786,16.562,0.000,-0.038,28.000,21.000,211.500,2.500,12.500,13.978,16.927
PG,Brandon Jennings,3500,Pho@NY 07:30PM ET,20.307,NY,1,0,14.857,13.054,17.125,0.000,2.066,26.500,21.000,222.500,-5.500,2.750,16.466,15.598
PG,Jerian Grant,3400,Sac@Chi 09:00PM ET,11.022,CHI,1,0,12.107,4.667,15.312,0.000,-2.905,22.000,20.400,205.000,-6.500,0.000,10.064,11.897
PG,Ramon Sessions,3400,Bkn@Cha 07:00PM ET,13.308,CHA,1,0,12.857,9.641,13.938,0.000,-1.433,30.000,20.400,221.500,-12.000,23.500,13.557,18.791
