Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,penalty,Final,O/U,odds
Michael Beasley,3400,SF/PF,MIL,15.417,105,0,NY,0,15.417,0.000,9.000,213.000,-3.500
Thon Maker,3000,PF,MIL,4.250,105,0,NY,0,4.250,0.000,0.000,213.000,-3.500
Steve Novak,3000,SF,MIL,1.156,105,0,NY,0,1.156,0.000,0.000,213.000,-3.500
Jerami Grant,3200,SF/PF,OKC,13.404,104,0,CHA,0,13.404,0.000,8.500,208.500,2.000
Russell Westbrook,12600,PG,OKC,63.700,104,0,CHA,0,63.700,0.000,70.250,208.500,2.000
Victor Oladipo,5500,SG,OKC,28.471,104,0,CHA,0,28.471,0.000,31.250,208.500,2.000
Andre Roberson,3400,SF,OKC,18.293,104,0,CHA,0,18.293,0.000,5.500,208.500,2.000
Steven Adams,5300,C,OKC,26.729,104,0,CHA,0,26.729,0.000,42.000,208.500,2.000
Domantas Sabonis,3000,PF,OKC,14.564,104,0,CHA,0,14.564,0.000,5.750,208.500,2.000
Jerami Grant,3200,SF/PF,OKC,13.404,104,0,CHA,0,13.404,0.000,8.500,208.500,2.000
Enes Kanter,5200,C,OKC,24.150,104,0,CHA,0,24.150,0.000,32.000,208.500,2.000
Anthony Morrow,3000,SG,OKC,8.875,104,0,CHA,0,8.875,0.000,5.500,208.500,2.000
Semaj Christon,3000,PG,OKC,9.360,104,0,CHA,0,9.360,0.000,14.250,208.500,2.000
Joffrey Lauvergne,3000,PF/C,OKC,12.661,104,0,CHA,0,12.661,0.000,0.000,208.500,2.000
Alex Abrines,3300,SG,OKC,9.089,104,0,CHA,0,9.089,0.000,12.250,208.500,2.000
Kyle Singler,3000,SF,OKC,4.338,104,0,CHA,0,4.338,0.000,0.000,208.500,2.000
Nick Collison,3000,C,OKC,4.250,104,0,CHA,0,4.250,0.000,0.000,208.500,2.000
